age,overall,potential,wage_eur,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,preferred_foot,value_eur,years_on_contract,position_ATT,position_DEF,position_GK,position_MID,attack_work_rate_High,attack_work_rate_Low,attack_work_rate_Medium,defense_work_rate_High,defense_work_rate_Low,defense_work_rate_Medium
34,93,93,320000.0,5,4,4,85.0,92.0,91.0,95.0,34.0,65.0,0,18.17221939747438,1.0,True,False,False,False,False,False,True,False,True,False
32,92,92,270000.0,5,4,4,78.0,92.0,79.0,86.0,44.0,82.0,1,18.59882693770404,1.0,True,False,False,False,True,False,False,False,False,True
36,91,91,270000.0,5,4,5,87.0,94.0,80.0,88.0,34.0,75.0,1,17.622173069956816,1.0,True,False,False,False,True,False,False,False,True,False
29,91,91,270000.0,5,5,5,91.0,83.0,86.0,94.0,37.0,63.0,1,18.675322970077882,3.0,True,False,False,False,True,False,False,False,False,True
30,91,91,350000.0,4,5,4,76.0,86.0,93.0,88.0,64.0,78.0,1,18.64781632450424,3.0,False,False,False,True,True,False,False,True,False,False
22,91,95,230000.0,4,4,5,97.0,88.0,80.0,92.0,36.0,77.0,1,19.083368722182243,0.0,True,False,False,False,True,False,False,False,True,False
27,90,90,240000.0,4,5,3,70.0,91.0,83.0,83.0,47.0,83.0,1,18.679191446825875,2.0,True,False,False,False,True,False,False,True,False,False
30,90,90,230000.0,4,3,2,78.0,66.0,75.0,82.0,87.0,83.0,1,18.420680753952364,1.0,False,False,False,True,False,False,True,True,False,False
33,89,89,350000.0,4,4,4,76.0,86.0,81.0,87.0,39.0,77.0,1,18.005165315142214,1.0,True,False,False,False,False,False,True,False,False,True
28,89,89,220000.0,4,5,4,88.0,87.0,82.0,86.0,43.0,69.0,1,18.459901466721032,3.0,False,False,False,True,True,False,False,True,False,False
29,89,89,310000.0,3,3,2,65.0,73.0,76.0,73.0,86.0,90.0,1,18.292847383806116,3.0,False,False,False,True,True,False,False,True,False,False
29,89,89,230000.0,4,3,2,78.0,60.0,71.0,72.0,91.0,84.0,1,18.26985786584569,3.0,False,True,False,False,False,False,True,False,False,True
29,89,89,270000.0,4,4,4,91.0,83.0,80.0,89.0,44.0,77.0,1,18.430631084706523,1.0,True,False,False,False,True,False,False,False,False,True
29,89,89,270000.0,4,3,4,90.0,87.0,81.0,90.0,45.0,75.0,0,18.430631084706523,1.0,True,False,False,False,True,False,False,False,False,True
26,89,90,160000.0,4,4,3,70.0,73.0,86.0,84.0,83.0,79.0,1,18.497641794347754,3.0,False,False,False,True,True,False,False,False,False,True
35,88,88,115000.0,4,3,3,70.0,70.0,76.0,74.0,88.0,84.0,1,16.993564429978885,1.0,False,True,False,False,True,False,False,False,False,True
34,88,88,135000.0,5,4,3,72.0,90.0,82.0,84.0,47.0,83.0,1,17.61099976960838,0.0,True,False,False,False,True,False,False,False,False,True
31,88,88,310000.0,4,5,3,53.0,81.0,91.0,81.0,71.0,68.0,1,18.132998684833918,1.0,False,False,False,True,False,False,True,False,False,True
28,88,88,260000.0,4,4,3,84.0,87.0,74.0,78.0,39.0,83.0,0,18.353472004954103,4.0,True,False,False,False,False,False,True,False,False,True
26,88,89,290000.0,4,3,4,91.0,82.0,79.0,87.0,45.0,66.0,1,18.493001414834318,1.0,True,False,False,False,True,False,False,False,False,True
26,88,89,250000.0,3,3,4,75.0,86.0,89.0,84.0,70.0,77.0,1,18.493001414834318,3.0,False,False,False,True,True,False,False,True,False,False
20,88,93,110000.0,4,3,3,89.0,91.0,65.0,80.0,45.0,88.0,0,18.739134482343626,2.0,True,False,False,False,True,False,False,True,False,False
33,87,87,260000.0,4,4,4,71.0,89.0,75.0,87.0,33.0,69.0,1,17.747336210296442,1.0,True,False,False,False,True,False,False,False,False,True
35,87,87,190000.0,4,4,4,73.0,76.0,89.0,88.0,72.0,66.0,1,17.281246492014,0.0,False,False,False,True,False,False,True,False,False,True
33,87,87,160000.0,4,2,5,83.0,81.0,86.0,87.0,48.0,69.0,0,17.71748324774094,0.0,True,False,False,False,True,False,False,False,False,True
31,87,87,140000.0,4,4,3,67.0,84.0,83.0,80.0,56.0,71.0,1,18.005165315142214,1.0,False,False,False,True,True,False,False,True,False,False
31,87,87,125000.0,4,4,3,86.0,87.0,67.0,81.0,39.0,77.0,1,18.02763817065757,3.0,True,False,False,False,True,False,False,False,False,True
28,87,87,220000.0,4,4,5,71.0,81.0,86.0,86.0,65.0,83.0,1,18.191267592203175,0.0,False,False,False,True,True,False,False,False,False,True
28,87,87,155000.0,3,4,4,64.0,61.0,87.0,91.0,79.0,67.0,1,18.191267592203175,2.0,False,False,False,True,False,False,True,True,False,False
27,87,90,135000.0,3,3,3,81.0,53.0,75.0,74.0,89.0,81.0,1,18.320860419719878,2.0,False,True,False,False,False,False,True,True,False,False
26,87,88,140000.0,4,4,3,81.0,82.0,82.0,84.0,81.0,86.0,1,18.34811006187022,4.0,False,False,False,True,True,False,False,False,False,True
27,87,88,160000.0,3,3,4,84.0,86.0,86.0,90.0,40.0,60.0,0,18.34811006187022,0.0,True,False,False,False,False,False,True,False,False,True
27,87,88,175000.0,3,2,3,84.0,61.0,81.0,81.0,82.0,76.0,0,18.24035720179713,4.0,False,True,False,False,True,False,False,True,False,False
24,87,92,210000.0,3,3,4,81.0,69.0,85.0,88.0,77.0,78.0,1,18.59882693770404,4.0,False,False,False,True,True,False,False,False,False,True
22,87,92,150000.0,3,4,3,79.0,68.0,88.0,80.0,80.0,72.0,1,18.5517090151307,3.0,False,True,False,False,True,False,False,False,False,True
21,87,91,150000.0,3,3,5,81.0,76.0,82.0,91.0,36.0,65.0,1,18.57340183955372,4.0,False,False,False,True,True,False,False,False,False,True
24,87,91,170000.0,3,4,2,61.0,38.0,65.0,68.0,88.0,88.0,1,18.445373366298835,5.0,False,True,False,False,False,False,True,True,False,False
36,86,86,88000.0,4,3,2,68.0,46.0,60.0,59.0,89.0,85.0,0,16.300417291085605,1.0,False,True,False,False,False,False,True,True,False,False
32,86,86,95000.0,4,3,3,56.0,59.0,77.0,73.0,89.0,77.0,1,17.599700214609808,0.0,False,True,False,False,True,False,False,True,False,False
32,86,86,200000.0,3,3,3,86.0,69.0,81.0,83.0,77.0,71.0,0,17.665658180950928,2.0,False,True,False,False,True,False,False,False,False,True
30,86,86,180000.0,3,3,5,63.0,72.0,86.0,90.0,70.0,66.0,1,17.989897843244528,2.0,False,False,False,True,False,False,True,False,False,True
32,86,86,200000.0,4,3,3,42.0,62.0,79.0,80.0,82.0,75.0,1,17.622173069956816,1.0,False,False,False,True,False,False,True,False,False,True
32,86,86,64000.0,2,4,3,50.0,83.0,90.0,81.0,71.0,69.0,1,17.795192230557824,2.0,False,False,False,True,False,False,True,False,False,True
30,86,86,125000.0,4,4,4,87.0,78.0,85.0,90.0,36.0,45.0,1,17.997560715872655,0.0,True,False,False,False,True,False,False,False,False,True
30,86,86,105000.0,3,3,2,81.0,28.0,51.0,65.0,87.0,85.0,1,17.83189359673468,1.0,False,True,False,False,False,False,True,True,False,False
28,86,88,180000.0,3,3,2,82.0,49.0,64.0,65.0,87.0,82.0,1,18.042344317830995,3.0,False,True,False,False,False,False,True,True,False,False
30,86,86,220000.0,3,4,5,81.0,79.0,81.0,90.0,38.0,60.0,0,17.997560715872655,1.0,True,False,False,False,False,False,True,False,False,True
29,86,86,73000.0,2,4,3,79.0,86.0,77.0,84.0,46.0,73.0,0,18.035018277846262,5.0,True,False,False,False,True,False,False,False,False,True
34,86,86,180000.0,3,4,3,85.0,84.0,70.0,80.0,52.0,73.0,1,17.312018149733785,1.0,True,False,False,False,True,False,False,False,False,True
27,86,88,165000.0,3,2,3,67.0,69.0,78.0,78.0,85.0,83.0,1,18.112795977788508,4.0,False,False,False,True,False,False,True,True,False,False
27,86,87,185000.0,3,4,4,85.0,71.0,83.0,84.0,80.0,72.0,1,18.08520802165025,3.0,False,True,False,False,True,False,False,False,False,True
27,86,89,185000.0,3,3,2,63.0,50.0,72.0,69.0,86.0,80.0,0,18.15931599280497,2.0,False,True,False,False,False,False,True,False,False,True
25,86,87,120000.0,4,3,4,93.0,76.0,79.0,88.0,30.0,60.0,1,18.20995972498239,1.0,False,False,False,True,False,False,True,False,False,True
26,86,87,200000.0,2,3,4,80.0,76.0,83.0,91.0,54.0,67.0,0,18.197537205138154,3.0,False,False,False,True,True,False,False,True,False,False
26,86,89,95000.0,3,4,3,88.0,80.0,81.0,82.0,78.0,82.0,1,18.292847383806116,5.0,False,False,False,True,True,False,False,False,False,True
25,86,89,175000.0,3,4,3,61.0,70.0,77.0,78.0,82.0,82.0,1,18.20995972498239,2.0,False,False,False,True,False,False,True,True,False,False
26,86,88,150000.0,3,3,2,80.0,41.0,53.0,69.0,87.0,84.0,1,18.119575664681957,1.0,False,True,False,False,False,False,True,True,False,False
33,85,85,51000.0,3,4,4,87.0,78.0,84.0,87.0,39.0,55.0,1,17.32705602664604,2.0,False,False,False,True,True,False,False,False,False,True
36,85,85,105000.0,4,3,2,53.0,54.0,72.0,72.0,86.0,78.0,1,16.066802461833923,0.0,False,True,False,False,False,False,True,True,False,False
35,85,85,44000.0,4,2,4,63.0,74.0,87.0,87.0,52.0,53.0,0,16.906553056777135,0.0,False,False,False,True,True,False,False,False,False,True
34,85,85,190000.0,4,4,3,66.0,86.0,70.0,76.0,51.0,79.0,1,17.073607134447293,0.0,True,False,False,False,True,False,False,True,False,False
30,85,85,240000.0,4,4,4,84.0,80.0,82.0,88.0,35.0,63.0,1,17.76675429577647,2.0,True,False,False,False,False,False,True,False,False,True
